"Date","Price","Open","High","Low","Vol.","Change %"
"10/29/2021","3,760.00","3,779.50","3,798.30","3,760.00","1.55K","-0.46%"
"10/28/2021","3,777.25","3,759.55","3,778.18","3,748.55","0.95K","0.46%"
"10/27/2021","3,760.00","3,771.50","3,771.50","3,751.60","1.13K","-0.23%"
"10/26/2021","3,768.73","3,766.78","3,778.78","3,765.78","1.17K","0.05%"
"10/25/2021","3,767.00","3,768.00","3,774.99","3,757.00","1.39K","-0.03%"
"10/22/2021","3,768.00","3,781.00","3,789.00","3,766.55","1.25K","-0.34%"
"10/21/2021","3,781.00","3,768.09","3,788.00","3,764.32","1.37K","0.34%"
"10/20/2021","3,768.09","3,766.80","3,776.50","3,760.00","1.92K","0.03%"
"10/19/2021","3,766.80","3,769.00","3,772.00","3,750.69","1.43K","-0.06%"
"10/18/2021","3,769.00","3,763.67","3,774.00","3,759.47","0.51K","0.14%"
"10/15/2021","3,763.67","3,769.50","3,785.30","3,755.55","1.40K","-0.15%"
"10/14/2021","3,769.50","3,740.00","3,774.45","3,733.23","1.79K","0.79%"
"10/13/2021","3,740.00","3,721.50","3,745.00","3,713.50","1.34K","0.50%"
"10/12/2021","3,721.50","3,753.00","3,767.35","3,714.06","2.08K","-0.84%"
"10/11/2021","3,753.00","3,767.35","3,767.35","3,753.00","0.62K","-0.38%"
"10/08/2021","3,767.35","3,774.50","3,775.87","3,757.98","1.31K","-0.19%"
"10/07/2021","3,774.50","3,788.00","3,788.00","3,761.84","1.67K","-0.36%"
"10/06/2021","3,788.00","3,783.50","3,804.60","3,777.10","1.22K","0.12%"
"10/05/2021","3,783.50","3,790.00","3,804.97","3,782.42","1.68K","-0.17%"
"10/04/2021","3,790.00","3,790.00","3,797.54","3,776.00","2.05K","0.00%"
"10/01/2021","3,790.00","3,807.80","3,807.80","3,767.00","3.97K","-0.47%"
"09/30/2021","3,807.80","3,836.00","3,839.00","3,803.00","1.32K","-0.74%"
"09/29/2021","3,836.00","3,834.00","3,845.22","3,823.40","1.58K","0.05%"
"09/28/2021","3,834.00","3,843.25","3,850.72","3,829.50","1.53K","-0.24%"
"09/27/2021","3,843.25","3,834.57","3,845.00","3,832.80","1.17K","0.23%"
"09/24/2021","3,834.57","3,834.00","3,860.00","3,833.47","2.02K","0.01%"
"09/23/2021","3,834.00","3,833.00","3,841.70","3,826.78","1.41K","0.03%"
"09/22/2021","3,833.00","3,837.25","3,842.47","3,822.50","1.54K","-0.11%"
"09/21/2021","3,837.25","3,844.00","3,849.70","3,835.00","1.21K","-0.18%"
"09/20/2021","3,844.00","3,827.50","3,862.00","3,821.85","1.46K","0.43%"
